tag,key_no,pavillon,local,utilisation,departement,quantite,remarque
1,CN109,(N) Paul-Gérin-Lajoie,N-3580,Atelier vidéo,Autoproduction,,
1,2WA26,,,,,,
1,WC67,,,,,,
2,BN111,,,,,,
3,JK33,(D) Athanase-David,D-R200,Administration,Atelier,,
3,KJK30,(D) Athanase-David,D-R200,,,,
4,ZV7X97,(A) Hubert-Aquin,A-M050,Magasins,Atelier,,
5,TEU2,(J) Judith-Jasmin ,J-2525,Studios 1 et 3 - Panneau électrique,Production,,
5,TEU1,(J) Judith-Jasmin ,J-2525,Console d'éclairage,Production,,
6,242,(J) Judith-Jasmin ,J-2560,Montage MII - Armoire d'équipement,Production,,
7,ZLZ,(J) Judith-Jasmin ,j,Passe-partout MGL - STAL - J-2020,Théâtre,,
7,WW15,(J) Judith-Jasmin ,j,MGL Son,Théâtre,,
7,ZLP74,(J) Judith-Jasmin ,j,MGL Console son - centre de la salle ,Théâtre,,"J-2330,2105,2135,1920,1950"
7,LP6,(J) Judith-Jasmin ,J-3140,Studio de son,Théâtre,,
7,91085,,,,,,
8,L2L4,(J) Judith-Jasmin ,J-4280,Laboratoire - Carole Bruneau,Linguistique,,
9,N1251,(J) Judith-Jasmin ,J-2000,Armoire de fils,Atelier,,
10,242,(W) Thérèse-Casgrain,W-3515,Cabinet,Psychologie,,
11,1502,(N) Paul-Gérin-Lajoie,N-3340,Amiga 4000,Autoproduction,,
12,FA1,(A) Hubert-Aquin,CS-3010 ???,Brasserie,Service alimentaire,,
13,95EE3,(J) Judith-Jasmin ,F-3434,Dépôt musique,,,
13,95HJ3,(J) Judith-Jasmin ,j,Alarme,,,
14,EM50,(DM) Mode,DM-6170,Meuble audiovisuel,École de mode,,
15,J71704,(ED) Design Annexe,ED-3100,,,,
15,J71704,(ED) Design Annexe,ED-3100,,,,
16,DJ37,(J) Judith-Jasmin ,J-2245,Salle électrique,Atelier,,
17,J89679,(F) Musique ,F-3435,Cadena Macpro,Musique,,
18,25H (x2),(A) Hubert-Aquin,A-4421,Verrou du Mac Studio,Communication,,
